"","EntityId","Symbol","Name","PriceSourceUser","Repno","IssueId","Date1","Date2","LogChange1","LogChange2","Close1","Close2","SplitFactor1","SplitFactor2","Multiplier","VolumeSpike","Recommendation"
"192",1095286,"VO25.L","VODAFONE GROUP 5.625% NTS 4/12/25 GBP(VAR)","ManualPriceEntry","",NA,2012-07-05,2012-07-10,-0.54409343,0.548369467,71.51,123.743,133.333328,133.333328,1.70833333333333,-0.4,"M"
"193",1101781,"WAR.L","War","ManualPriceEntry","",NA,2011-11-25,2011-11-28,-0.407816052,0.454341084,60.471,95.25,1,1,1.54166666666667,-0.1,"E"
"194",307516,"WEBM","webMethods, Inc.","ReutersAndEODData","A22A4",1,2000-04-13,2000-04-18,-0.44134,0.471868128,90.6875,98.98438,1,1,1.58333333333333,-1.5,"I"
"195",307514,"WITS","Witness Systems Inc","ReutersAndEODData","A22A2",1,2000-04-14,2000-04-18,-0.376476854,0.4455854,6.5625,11.125,2.83333349,2.83333349,1.5,-1.9,"I"
"196",308413,"WJCI","TriQuint WJ Inc","ReutersAndEODData","A264B",1,2001-03-13,2001-04-19,-0.370859325,0.412109643,3.0625,6.04,1,1,1.5,0.2,"I"
"197",1095468,"XGSD.L","DB X-Trackers Dbx Stoxx Global","YahooAndEODData","",NA,2013-12-06,2013-12-09,-0.487157226,0.494709373,1863.5,1867,1,1,1.625,0.3,"E"
"198",1095468,"XGSD.L","DB X-Trackers Dbx Stoxx Global","YahooAndEODData","",NA,2013-12-09,2013-12-10,0.494709373,-0.497933418,1867,1858,1,1,1.625,-0.2,"E"
"199",1095468,"XGSD.L","DB X-Trackers Dbx Stoxx Global","YahooAndEODData","",NA,2013-12-11,2013-12-17,0.489061981,-0.489721835,1850,1857.5,1,1,1.625,-3.4,"I"
"200",1095468,"XGSD.L","DB X-Trackers Dbx Stoxx Global","YahooAndEODData","",NA,2013-12-17,2013-12-20,-0.489721835,0.5018656,1857.5,1879,1,1,1.625,-1,"I"
"201",1095624,"XSIR.L","DB X-Trackers Dbx Stoxx Europe","YahooAndEODData","",NA,2012-07-04,2012-08-01,-3.02030826,3.2735703,98.27,2019.1084,1,1,23.3333333333333,0.1,"F"
"202",1101793,"XTR.L","Xtract Energy Plc","YahooAndEODData","",NA,2012-07-31,2012-08-06,-1.71973944,1.673944,0.5778,3.0815,1,1,5.41666666666667,0,"I"
