EntityId,Symbol,Name,PriceSourceUser,Repno,IssueId,Date1,Date2,LogChange1,LogChange2,Close1,Close2,SplitFactor1,SplitFactor2,Multiplier,VolumeSpike
311433,BNBR3,Banco do Nordeste do Brasil S.A.,ReutersAndEODData,A67D3,1,3/31/2008,4/3/2008,-0.410959184,0.41096,2.42,3.65,0.09749998,0.09749998,1.5,-4.5
311433,BNBR3,Banco do Nordeste do Brasil S.A.,ReutersAndEODData,A67D3,1,2/18/2008,4/14/2008,-0.5151081,0.624450743,2.33,4.5,0.09749998,0.09749998,1.75,-10
312599,BSCT5,Banco do Estado de Santa Catarina S.A.,ReutersAndEODData,A8260,2,8/21/2007,12/6/2007,0.7614729,-0.7801593,14.99,2.75,1,1,2.1666666666666665,-6.7
312599,BSCT5,Banco do Estado de Santa Catarina S.A.,ReutersAndEODData,A8260,2,12/6/2007,1/2/2008,-0.7801593,0.8938179,2.75,11,1,1,2.291666666666667,-1.3
1092457,BVC.L,BATM Advanced Communications Ltd,YahooAndEODData,A3320,1,11/30/2000,12/1/2000,4.528537,-4.570384,282.5,2.925,1,1,95.833333333333329,-0.2
1092457,BVC.L,BATM Advanced Communications Ltd,YahooAndEODData,A3320,1,12/1/2000,12/4/2000,-4.570384,4.52512741,2.925,270,1,1,95.833333333333329,-1.7
1092457,BVC.L,BATM Advanced Communications Ltd,YahooAndEODData,A3320,1,12/4/2000,12/5/2000,4.52512741,-4.530269,270,2.90999985,1,1,91.666666666666671,-1.2
308840,CAE.TO,"CAE, Inc.",ReutersAndEODData,A28D6,1,6/26/1986,6/30/1986,-0.6931472,0.7357068,11.375,12,4,2,2.0416666666666665,0.2
311371,CALICHERAB,Soc de Inversiones Pampa Calichera SA,ReutersAndEODData,A656F,2,5/13/2002,8/28/2002,0.6690497,-0.76445955,123,60,1.02999985,1.02999985,2.0416666666666665,-2.4
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,8/6/2012,8/7/2012,-0.379281431,0.4003494,20.25,30.22,0.502820969,0.502820969,1.4583333333333333,0.1
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,8/30/2012,9/11/2012,0.392606825,-0.436831921,29.75,20.19,0.502820969,0.502820969,1.5,-0.3
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,9/11/2012,9/12/2012,-0.436831921,0.4281544,20.19,30.98,0.502820969,0.502820969,1.5416666666666667,-0.5
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,9/12/2012,9/14/2012,0.4281544,-0.439102054,30.98,20.17,0.502820969,0.502820969,1.5416666666666667,-0.7
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,9/14/2012,9/17/2012,-0.439102054,0.432689816,20.17,31.09,0.502820969,0.502820969,1.5416666666666667,-0.1
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,9/17/2012,9/19/2012,0.432689816,-0.411209583,31.09,20.25,0.502820969,0.502820969,1.5416666666666667,0.1
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,9/19/2012,9/20/2012,-0.411209583,0.415456355,20.25,30.68,0.502820969,0.502820969,1.5,0.2
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,11/18/2013,11/20/2013,0.356718779,-0.405617625,32.73,21.75,1,1,1.4583333333333333,-0.1
295034,CATO,Cato Corp,ReutersAndEODData,15723,1,11/20/2013,11/25/2013,-0.405617625,0.456524432,21.75,33.75,1,1,1.5416666666666667,0.3
909810,CDFT,Citadel Eft Inc,EODData,,,6/4/2013,9/9/2013,-0.4054652,0.479573071,0.0004,10.5,1,1,1.5416666666666667,-7.3
315040,CGHI,"Centurion Gold Holdings, Inc.",ReutersAndEODData,AAACC,1,12/2/2002,12/12/2002,2.38774276,-2.70805025,4.41,0.2,1,1,12.916666666666666,-2.7
